"product_key","product_name","category","subcategory","cost","total_sales","lifespan","product_segment","recency","avg_order_rev","avg_month_rev"
3,Mountain-100 Black- 38,Bikes,Mountain Bikes,1898,165375,11,High-Performers,160,3375.0000,15034.0909
4,Mountain-100 Black- 42,Bikes,Mountain Bikes,1898,151875,11,High-Performers,160,3375.0000,13806.8182
5,Mountain-100 Black- 44,Bikes,Mountain Bikes,1898,202500,12,High-Performers,160,3375.0000,16875.0000
6,Mountain-100 Black- 48,Bikes,Mountain Bikes,1898,192375,12,High-Performers,160,3375.0000,16031.2500
7,Mountain-100 Silver- 38,Bikes,Mountain Bikes,1912,197200,12,High-Performers,160,3400.0000,16433.3333
8,Mountain-100 Silver- 42,Bikes,Mountain Bikes,1912,142800,12,High-Performers,160,3400.0000,11900.0000
9,Mountain-100 Silver- 44,Bikes,Mountain Bikes,1912,166600,12,High-Performers,160,3400.0000,13883.3333
10,Mountain-100 Silver- 48,Bikes,Mountain Bikes,1912,122400,12,High-Performers,160,3400.0000,10200.0000
16,Road-150 Red- 44,Bikes,Road Bikes,2171,1005418,12,High-Performers,160,3578.0000,83784.8333
17,Road-150 Red- 48,Bikes,Road Bikes,2171,1205786,12,High-Performers,160,3578.0000,100482.1667
18,Road-150 Red- 52,Bikes,Road Bikes,2171,1080556,12,High-Performers,160,3578.0000,90046.3333
19,Road-150 Red- 56,Bikes,Road Bikes,2171,1055510,12,High-Performers,160,3578.0000,87959.1667
20,Road-150 Red- 62,Bikes,Road Bikes,2171,1202208,12,High-Performers,160,3578.0000,100184.0000
36,Road-650 Black- 44,Bikes,Road Bikes,487,47565,23,Low-Performers,148,755.0000,2068.0435
37,Road-650 Black- 48,Bikes,Road Bikes,487,45552,21,Low-Performers,148,759.2000,2169.1429
38,Road-650 Black- 52,Bikes,Road Bikes,487,66915,23,Mid-Range,148,751.8539,2909.3478
39,Road-650 Black- 58,Bikes,Road Bikes,487,57996,24,Mid-Range,148,763.1053,2416.5000
40,Road-650 Black- 60,Bikes,Road Bikes,487,57156,23,Mid-Range,148,752.0526,2485.0435
41,Road-650 Black- 62,Bikes,Road Bikes,487,49047,24,Low-Performers,148,754.5692,2043.6250
42,Road-650 Red- 44,Bikes,Road Bikes,487,54528,24,Mid-Range,148,757.3333,2272.0000
43,Road-650 Red- 48,Bikes,Road Bikes,487,66720,24,Mid-Range,148,758.1818,2780.0000
44,Road-650 Red- 52,Bikes,Road Bikes,487,46083,24,Low-Performers,148,755.4590,1920.1250
45,Road-650 Red- 58,Bikes,Road Bikes,487,56346,22,Mid-Range,148,761.4324,2561.1818
46,Road-650 Red- 60,Bikes,Road Bikes,487,40071,23,Low-Performers,148,756.0566,1742.2174
47,Road-650 Red- 62,Bikes,Road Bikes,487,57381,23,Mid-Range,148,765.0800,2494.8261
48,Road-250 Red- 44,Bikes,Road Bikes,1519,351792,12,High-Performers,148,2443.0000,29316.0000
49,Road-250 Red- 48,Bikes,Road Bikes,1519,395766,12,High-Performers,148,2443.0000,32980.5000
50,Road-250 Red- 52,Bikes,Road Bikes,1519,324919,12,High-Performers,148,2443.0000,27076.5833
104,Mountain Bottle Cage,Accessories,Bottles and Cages,4,20340,13,Low-Performers,135,10.0444,1564.6154
105,Road Bottle Cage,Accessories,Bottles and Cages,3,15399,13,Low-Performers,135,9.0000,1184.5385
106,Mountain-500 Black- 40,Bikes,Mountain Bikes,295,25920,12,Low-Performers,136,540.0000,2160.0000
107,Mountain-500 Black- 42,Bikes,Mountain Bikes,295,26460,12,Low-Performers,136,540.0000,2205.0000
108,Mountain-500 Black- 44,Bikes,Mountain Bikes,295,31320,12,Low-Performers,136,540.0000,2610.0000
109,Mountain-500 Black- 48,Bikes,Mountain Bikes,295,30240,12,Low-Performers,136,540.0000,2520.0000
110,Mountain-500 Black- 52,Bikes,Mountain Bikes,295,22140,12,Low-Performers,136,540.0000,1845.0000
111,Mountain-500 Silver- 40,Bikes,Mountain Bikes,308,25425,12,Low-Performers,136,565.0000,2118.7500
112,Mountain-500 Silver- 42,Bikes,Mountain Bikes,308,25425,12,Low-Performers,136,565.0000,2118.7500
113,Mountain-500 Silver- 44,Bikes,Mountain Bikes,308,22035,12,Low-Performers,136,565.0000,1836.2500
114,Mountain-500 Silver- 48,Bikes,Mountain Bikes,308,28250,12,Low-Performers,136,565.0000,2354.1667
115,Mountain-500 Silver- 52,Bikes,Mountain Bikes,308,27120,11,Low-Performers,136,565.0000,2465.4545
116,Mountain-400-W Silver- 38,Bikes,Mountain Bikes,420,113812,12,High-Performers,136,769.0000,9484.3333
117,Mountain-400-W Silver- 40,Bikes,Mountain Bikes,420,98432,12,Mid-Range,136,769.0000,8202.6667
118,Mountain-400-W Silver- 42,Bikes,Mountain Bikes,420,99201,12,Mid-Range,136,769.0000,8266.7500
119,Mountain-400-W Silver- 46,Bikes,Mountain Bikes,420,106122,12,High-Performers,136,769.0000,8843.5000
120,Mountain-200 Black- 38,Bikes,Mountain Bikes,1252,1292559,24,High-Performers,136,2224.7143,53856.6250
121,Mountain-200 Black- 42,Bikes,Mountain Bikes,1252,1363128,24,High-Performers,136,2220.0782,56797.0000
122,Mountain-200 Black- 46,Bikes,Mountain Bikes,1252,1373454,24,High-Performers,136,2215.2484,57227.2500
123,Mountain-200 Silver- 38,Bikes,Mountain Bikes,1266,1339394,24,High-Performers,136,2247.3054,55808.0833
124,Mountain-200 Silver- 42,Bikes,Mountain Bikes,1266,1257368,24,High-Performers,136,2245.3000,52390.3333
125,Mountain-200 Silver- 46,Bikes,Mountain Bikes,1266,1298709,24,High-Performers,136,2243.0207,54112.8750
126,Road-750 Black- 44,Bikes,Road Bikes,344,194400,12,High-Performers,136,540.0000,16200.0000
127,Road-750 Black- 48,Bikes,Road Bikes,344,196020,12,High-Performers,136,540.0000,16335.0000
128,Road-750 Black- 52,Bikes,Road Bikes,344,208440,12,High-Performers,136,540.0000,17370.0000
129,Road-750 Black- 58,Bikes,Road Bikes,344,180360,12,High-Performers,136,540.0000,15030.0000
130,Road-550-W Yellow- 38,Bikes,Road Bikes,713,293760,24,High-Performers,136,1088.0000,12240.0000
131,Road-550-W Yellow- 40,Bikes,Road Bikes,713,289880,24,High-Performers,136,1089.7744,12078.3333
132,Road-550-W Yellow- 42,Bikes,Road Bikes,713,334440,24,High-Performers,136,1092.9412,13935.0000
133,Road-550-W Yellow- 44,Bikes,Road Bikes,713,312200,24,High-Performers,136,1087.8049,13008.3333
134,Road-550-W Yellow- 48,Bikes,Road Bikes,713,283680,23,High-Performers,136,1086.8966,12333.9130
135,Road-350-W Yellow- 40,Bikes,Road Bikes,1083,418446,12,High-Performers,136,1701.0000,34870.5000
136,Road-350-W Yellow- 42,Bikes,Road Bikes,1083,399735,12,High-Performers,136,1701.0000,33311.2500
137,Road-350-W Yellow- 44,Bikes,Road Bikes,1083,367416,12,High-Performers,136,1701.0000,30618.0000
138,Road-350-W Yellow- 48,Bikes,Road Bikes,1083,394632,12,High-Performers,136,1701.0000,32886.0000
139,Road-250 Black- 44,Bikes,Road Bikes,1555,628384,24,High-Performers,136,2318.7601,26182.6667
140,Road-250 Black- 48,Bikes,Road Bikes,1555,691213,24,High-Performers,136,2319.5067,28800.5417
141,Road-250 Black- 52,Bikes,Road Bikes,1555,734425,24,High-Performers,136,2302.2727,30601.0417
142,Road-250 Black- 58,Bikes,Road Bikes,1555,622026,24,High-Performers,136,2303.8000,25917.7500
143,Road-250 Red- 58,Bikes,Road Bikes,1555,702666,24,High-Performers,136,2296.2941,29277.7500
144,Touring-3000 Blue- 44,Bikes,Touring Bikes,461,39326,12,Low-Performers,136,742.0000,3277.1667
145,Touring-3000 Blue- 50,Bikes,Touring Bikes,461,35616,12,Low-Performers,136,742.0000,2968.0000
146,Touring-3000 Blue- 54,Bikes,Touring Bikes,461,40810,12,Low-Performers,136,742.0000,3400.8333
